annee,conso
2018,9.45404951844596
2014,6.303904846097645
2012,7.015669707809882
2019,2.507500903670099
2016,5.900447087181865
2015,
2012,4.345029296518932
2018,4.360594175035185
2019,3.9097017075818488
2015,5.683070913114815
2012,8.639401743864061
2015,
2017,9.700261981802587
2014,8.523690303944365
2012,4.270051426301089
2014,5.449320164429023
2010,8.952188245814007
2012,7.549125922440538
2015,
2016,6.763288847672788
2013,10.84751536293225
2011,2.0235216294333305
2016,10.435443491016587
2012,1.3353365693341759
2019,10.15793808885759
2019,5.55053737428531
2018,9.023218838948758
2014,3.6653220058228397
2018,6.115080061341142
2016,3.4641290121884563
2016,10.824901283960548
2017,5.666797038528475
2014,5.590529833089092
2015,2.433314921618406
2018,6.09813355630727
2015,4.484448839198711
2016,9.542422431959682
2017,3.9317118396980737
2015,1.550520329008547
2017,9.478140724673635
2011,4.80840785544896
2018,2.335727101732961
2012,7.828447309469954
2013,10.690209675270387
2018,10.087906426601627
2016,8.52643420887156
2015,5.052163192939343
2013,8.90274028755874
2014,6.478221234362975
2017,4.20542283017629
2019,5.832150731030488
2015,
2018,7.368174908295905
2014,6.767300052596011
2015,
2014,9.65378463320918
2013,5.079250415261278
2012,4.330742940451987
2018,5.511463980662337
2010,2.9330322352621057
2013,2.389149843809326
2016,10.785664281084625
2014,10.520086077551266
2015,
2010,1.6714089697231085
2012,1.7325768879358252
2011,6.989477823686894
2012,3.7201857125719906
2010,1.8379173368796122
2019,4.781255142698584
2016,7.807865482062967
2015,9.635164596189762
2013,4.217456270637964
2014,7.786749125192322
2010,1.4736060349773663
2016,10.268621754438287
2018,6.534986414040011
2013,6.2471492081583415
2010,5.525397525101439
2016,6.68688904168834
2016,1.4923097372339902
2011,1.2972297463737528
2011,9.555934876161693
2015,4.19909217615424
2011,2.0435104103059514
2010,5.300527021358951
2010,7.547346307891799
2015,
2018,9.148876491862403
2016,1.826608909567067
2013,5.446336733230842
2015,
2016,2.683053567563455
2017,8.674768446822728
2018,4.264108063032609
2010,10.837965726010857
2015,2.33734867426504
2015,1.3292769924871675
2010,8.930167569382855
2017,9.958373059905776
2013,10.56719619837923
2012,1.8475696904035368
2018,9.081984237307818
2018,5.177812337718654
2013,7.3030142268018
2012,10.144483474030071
2013,8.881204777361702
2012,3.4525192622619274
2011,10.467093689404946
2012,1.9102800171223102
2013,8.31138622606375
2013,2.865824552476869
2012,4.587936319252995
2012,4.487558959319972
2014,2.4658207100955325
2017,3.795384583184589
2017,7.115754606164487
2015,
2012,5.922586103367755
2016,9.753050649681239
2012,10.169800818792101
2011,4.412557789119255
2013,6.9065949571465755
2012,4.042856252816165
2018,1.253920860366561
2014,2.088276230545783
2010,8.887090032848512
2016,8.247138494106576
2015,4.369417927084891
2019,9.484390223193627
2016,9.611086255822936
2010,4.607445199671501
2018,8.812223044957294
2010,8.595865869177363
2018,5.793463620198775
2016,8.340472279627313
2018,4.130302729946006
2013,10.784548337279226
2014,2.8717188686302477
2014,7.373359178346964
2010,3.904585022451529
2013,5.928639762594472
2014,7.6017840763962665
2019,9.38749708493831
2011,4.69884028490631
2015,6.3196694560445685
2016,2.271058030852031
2017,8.493275741875351
2012,5.476751867912973
2018,7.474612202493596
2018,6.621412285819805
2012,9.600627223765576
2017,7.11806600106033
2013,4.936492412147076
2013,4.99629317640697
2012,7.001360126490658
2016,6.089715720307016
2014,3.867061096304493
2019,5.73924228117019
2018,3.906796703593008
2019,8.011438936378362
2013,1.1302116016780808
2011,8.246381549737777
2014,3.1141569426927065
2016,10.136623461497473
2013,2.28663108439812
2015,
2019,9.084139515946452
2019,7.829534454484307
2018,5.435859305486883
2018,7.755880845542729
2015,8.86749973014276
2010,3.556066093214917
2018,5.058420465148425
2019,3.146953137955342
2011,6.540847357064767
2010,9.463312329238015
2013,2.469790735004859
2019,6.416277986618998
2018,10.39245803619727
2010,10.317387524926131
2018,3.971960854510909
2014,7.627308273121844
2015,
2017,10.572460380382022
2014,5.31574949259614
2011,1.9153832778880422
2017,6.350670577357983
2012,2.6406098118801546
2015,
2016,4.167516321837395
2010,6.285781442799921
2019,5.1050941459107175
2014,7.8063925037407005
2019,3.1761384517706137
2013,2.4648570740113245
2016,9.990174343092036
2014,8.902475753351283
2010,4.433334446847342
2017,5.614639429092827
2010,1.4688024933310875
2017,1.0343086434839979
2013,10.245679635184622
2017,9.694716739459935
2015,
2018,2.6589121909076034
2014,1.2651479071575846
2016,5.68916796339785
2016,10.05139975053078
2017,2.0888102317815394
2018,8.513973700727378
2016,2.5618623597706014
2016,2.3225667240084507
2011,5.456884036873813
2012,7.126641942939765
2019,6.221045854450015
2012,2.4626260193957874
2011,3.6580121890022412
2013,4.713210586022267
2013,1.1867693870210851
2017,9.761100484462945
2013,9.608481356788486
2010,3.8200573168211527
2017,3.0973683263642484
2019,5.990057845043626
2012,7.750009435109061
2016,7.8190332979588195
2018,8.685107339917092
2016,5.5511883661865
2017,3.0674073412038805
2019,10.307581656562558
2018,2.695000740450582
2018,7.22404887878052
2015,
2014,1.2401644171818684
2018,4.831545806994782
2013,5.142283680489132
2013,3.9531400007843454
2018,1.40292635544679
2012,6.729386240660061
2011,5.059467592072288
2013,10.142932151449276
2016,5.093857739366475
2017,5.399480807588619
2019,1.1796183766138315
2019,9.967156178661314
2016,1.2551860097608993
2018,6.875393703516122
2013,10.369821180233135
2011,2.475416667161645
2014,6.056782498974241
2015,
2011,7.557442876853468
2016,8.949223903515492
2017,4.153859851700482
2019,9.429417109070393
2012,9.334273292816256
2012,8.5139595384046
2011,9.856748891560978
